headline,label,lm_positive_words,lm_negative_words,detected_entities,detected_directional_words,senti_dd_pos_pairs,senti_dd_neg_pairs,senti_dd_score,senti_dd_prediction,correct
it also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008,neutral,[],[],['report'],[],[],[],0,neutral,True
the negotiations concern personnel of cencorp corporation and singulase oy as whole in finland and in sweden the company said,neutral,[],['concern'],['company'],[],[],[],-1,negative,False
the repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the convertible bonds,neutral,[],[],[],[],[],[],0,neutral,True
the power supplies dc power systems and inverters designed and manufactured by efore and systems incorporating them are used in many different applications,neutral,[],[],['system'],[],[],[],0,neutral,True
operating profit rose to eur 103 4 mn from eur 23 2 in the corresponding period in 2006,positive,[],[],"['eur', 'profit', 'period', 'mn']",['rose'],"['profit_rose', 'eur_rose', 'period_rose', 'mn_rose']",[],4,positive,True
in the fourth quarter of 2008 net sales decreased to eur 121 4 mn from eur 165 5 mn in the fourth quarter of 2007,negative,[],[],"['eur', 'sale', 'quarter', 'net', 'mn']",['decreas'],[],"['net_decreas', 'eur_decreas', 'quarter_decreas', 'sale_decreas', 'mn_decreas']",-5,negative,True
russia s video international group holds a controlling stake in russian media ventures,neutral,[],[],"['group', 'medium']",[],[],[],0,neutral,True
the refining margin for the year was $ 13 39 bbl compared to $ 10 46 bbl in the prior year,positive,[],[],"['margin', 'year']",[],[],[],0,neutral,False
finnish meat company atria can no longer promise a sufficient amount of domestic beef to its customers,negative,[],[],['company'],[],[],[],0,neutral,False
the annual net sales of the unit is some eur 5 million and it currently employs some 55 people,neutral,[],[],"['eur', 'net', 'sale']",[],[],[],0,neutral,True
an of the invention released by the patent office said : a non coherent search matrix is formed of said correlation function matrix,neutral,['invention'],[],[],[],[],[],1,positive,False
in the third quarter net sales increased by 12 year on year to eur 159 5 million or by 6 at comparable currency rates growth,positive,[],[],"['growth', 'eur', 'sale', 'quarter', 'net', 'year']",['increas'],"['year_increas', 'quarter_increas', 'net_increas', 'growth_increas', 'sale_increas', 'eur_increas']",[],6,positive,True
finnish plumbing and heating systems supplier uponor s net sales from continuing operations decreased by 9 4 in 2008 to eur 949 2 mn from eur 1 047 4 mn in 2007,negative,[],[],"['eur', 'sale', 'net', 'system', 'mn']",['decreas'],[],"['net_decreas', 'eur_decreas', 'system_decreas', 'sale_decreas', 'mn_decreas']",-5,negative,True
net sales fell by 5 from the previous accounting period,negative,[],[],"['net', 'sale', 'period']",['fell'],[],"['sale_fell', 'period_fell', 'net_fell']",-3,negative,True
the plant is expected to enter commercial operation by mid 2009,neutral,[],[],['plant'],[],[],[],0,neutral,True
ramirent s net sales in the second quarterended june 30 were euro 128 7 million about u s $ 163 million a 3 3 percent increase compared with euro 124 6 million for thesecond quarter last year,positive,[],[],"['sale', 'percent', 'quarter', 'june', 'net', 'year']",['increas'],"['year_increas', 'quarter_increas', 'net_increas', 'percent_increas', 'sale_increas', 'june_increas']",[],6,positive,True
both operating profit and net sales for the six month period increased respectively from eur7 5 m and eur655 5 m as compared to the corresponding period in 2005,positive,[],[],"['sale', 'month', 'period', 'net', 'profit']",['increas'],"['period_increas', 'net_increas', 'month_increas', 'sale_increas', 'profit_increas']",[],5,positive,True
the value of the order is eur 700 000,neutral,[],[],"['eur', 'value', 'order']",[],[],[],0,neutral,True
ssh communications security corporation is headquartered in helsinki finland,neutral,[],[],['communication'],[],[],[],0,neutral,True
under the transaction agreement metsaliitto will purchase 24 7 of metsa botnia s shares from upm and 3 from m real,neutral,[],[],['share'],[],[],[],0,neutral,True
the facility will be used to refinance citycon s existing credit facility the company said,neutral,[],[],['company'],[],[],[],0,neutral,True
componenta has production lines for similar sized products at karkkila in finland at weert in the netherlands and at orhangazi in turkey and these had a combined output of approximately 100 000 tonnes and net sales of eur 135 million in 2007,neutral,[],[],"['eur', 'product', 'sale', 'net']",[],[],[],0,neutral,True
work on the assignment has already started and is due for completion in spring 2011,neutral,[],[],[],[],[],[],0,neutral,True
according to finnish metso minerals the value of the company s orders has gone up to eur 1 9 bn in 12 months,positive,[],[],"['eur', 'month', 'value', 'order', 'company']",['up'],"['order_up', 'value_up', 'eur_up', 'month_up']",['company_up'],3,positive,True
no financial details of the deployment were disclosed,neutral,[],['disclosed'],[],[],[],[],-1,negative,False
rental of building equipment accounted for 88 percent of the operating income,neutral,[],[],"['income', 'percent']",[],[],[],0,neutral,True
the actions are expected to deliver annual cost savings of some eur15 20m,positive,[],[],['cost'],[],[],[],0,neutral,False
our key geographical markets are europe russian federation middle east south africa and japan,neutral,[],[],[],[],[],[],0,neutral,True
nokia and capcom announced that resident evil degeneration will be released on n gage later this year,neutral,[],[],['year'],[],[],[],0,neutral,True
the full function pc weighs 1 25 kilograms and measures slightly more than two centimeters thin,neutral,[],[],[],[],[],[],0,neutral,True
the latest result included per share charges of 5 cents for stock compensation 1 cent for research and development and 1 cent for strategic investments,neutral,[],[],"['result', 'cent', 'investment', 'share']",[],[],[],0,neutral,True
operating loss totaled eur 0 8 mn compared to a profit of eur 0 5 mn,negative,[],['loss'],"['eur', 'profit', 'mn']",[],[],[],-1,negative,True
finnish airline finnair has won a deal with the uk public sector to be the official airline for flights from london heathrow to osaka in japan as well as flights between manchester in the uk and helsinki in finland,positive,[],[],[],[],[],[],0,neutral,False
the company has 120 employees and annual sales of approximately eur16m,neutral,[],[],"['company', 'sale']",[],[],[],0,neutral,True
total operating revenue grew by 27 6 year on year to eur61m,positive,[],[],"['revenue', 'year']",[],[],[],0,neutral,False
below are unaudited consolidated results for aspocomp group under ifrs reporting standards,neutral,[],[],"['group', 'result']",[],[],[],0,neutral,True
the company also equipped the sculptural complex rabochy i kolkhoznitsa a worker and a collective farmer in moscow with snow melting system,neutral,[],[],"['company', 'system']",[],[],[],0,neutral,True
aldata solution a global company engaged in supplier to consumer business process optimization has announced the details of its dollars for dinosaurs program,neutral,[],[],"['company', 'business', 'solution']",[],[],[],0,neutral,True
the finnish national carrier said net loss in april through june was euro26 million down from a net profit of euro13 million a year earlier,negative,[],['loss'],"['june', 'net', 'profit', 'year']",['down'],[],"['june_down', 'year_down', 'net_down', 'profit_down']",-5,negative,True
our customers include companies in the energy and process industry sectors in particular,neutral,[],[],['company'],[],[],[],0,neutral,True
raisio s bid to buy glisten is a win win deal for both companies the chairman of the uk snacks firm told just food today 10 february,positive,['win'],[],['company'],[],[],[],1,positive,True
seventy three of those also have more extensive training in products built on the latest archestra technologies such as the wonderware system platform,neutral,[],[],"['product', 'system']",[],[],[],0,neutral,True
cooper sh the uk distributor for lift equipment manufacturer konecranes won the five year deal which involves low maintenance and fuel saving technologies,positive,[],[],"['manufacturer', 'year']",[],[],[],0,neutral,False
in addition mids are always online and enable full internet browsing,neutral,['enable'],[],[],[],[],[],1,positive,False
vacon controls a further 5 of the company via investment fund power fund i eur 1 0 usd 1 397,neutral,[],[],"['eur', 'company', 'investment']",[],[],[],0,neutral,True
rl nordic is a part of raiffeisen banking group austria and is a subsidiary to raiffeisen leasing gmbh in austria,neutral,[],[],['group'],[],[],[],0,neutral,True
3 january 2011 scandinavian lenders sampo bank hel : samas pohjola bank hel : poh1s and svenska handelsbanken sto : shb a have provided a eur160m usd213m line of credit to lemminkainen oyj hel : lem1s the finnish construction firm said on friday,neutral,[],[],"['construction', 'oyj']",[],[],[],0,neutral,True
the operating profit for grain trading increased to eur 2 0 mn from eur 1 4 mn in 2005,positive,[],[],"['eur', 'profit', 'mn']",['increas'],"['eur_increas', 'mn_increas', 'profit_increas']",[],3,positive,True
at the end of march 2009 the company s loans amounted to eur 10 113 mn,neutral,[],[],"['eur', 'company', 'end', 'mn']",[],[],[],0,neutral,True
tulikivi manufactures heat retaining soapstone and ceramic fireplaces as well as natural stone products and utility ceramics,neutral,[],[],['product'],[],[],[],0,neutral,True
eps from continuing operations came in at 0 30 eur up from 0 17,positive,[],[],['eur'],['up'],['eur_up'],[],1,positive,True
following the registration the share capital of biotie is eur 52 556 678 10,neutral,[],[],"['eur', 'capital', 'share']",[],[],[],0,neutral,True
the center will be built in the kapuli district of mantsala beside the hanko mantsala porvoo road near the new direct rail link between lahti and jarvenpaa,neutral,[],[],[],[],[],[],0,neutral,True
lkab headquartered in lulea sweden is a high tech mining company producing upgraded iron ore products for the steel industry,neutral,[],[],"['product', 'company']",[],[],[],0,neutral,True
kemira headquartered in helsinki finland is an international chemicals group comprising the business areas kemira pulp & paper kemira water kemira specialty and kemira coatings,neutral,[],[],"['area', 'group', 'paper', 'business']",[],[],[],0,neutral,True
elcoteq dongguan was established in 1999 in the nancheng district of dongguan china and is one of elcoteq s four volume manufacturing plants in the asia pacific region,neutral,[],[],"['plant', 'volume']",[],[],[],0,neutral,True
the steelmaker said that the drop in profit was explained by the continuing economic uncertainty mixed with the current drought in bank lending resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations,negative,[],"['drought', 'difficult', 'decline']","['product', 'profit', 'demand']","['drop', 'declin']",[],"['product_drop', 'profit_drop', 'demand_declin', 'profit_declin', 'demand_drop', 'product_declin']",-9,negative,True
kone shares dropped 4 1 percent to x20ac 43 us$ 55 77 in helsinki,negative,[],['dropped'],"['percent', 'share']",['drop'],[],"['percent_drop', 'share_drop']",-3,negative,True
pretax profit rose to eur 1 019 mn from eur 1 007 in the corresponding period in 2005,positive,[],[],"['eur', 'profit', 'period', 'mn']",['rose'],"['profit_rose', 'eur_rose', 'period_rose', 'mn_rose']",[],4,positive,True
a maximum of 666 104 new shares can further be subscribed for by exercising b options under the 2004 stock option plan,neutral,[],[],['share'],[],[],[],0,neutral,True
china unicom nyse : chu hkse : 0762 and shse : 600050 the second largest mobile carrier in the country,neutral,[],[],[],[],[],[],0,neutral,True
the business had gross written premiums of eur152 4 m 91 5 m in 2000 a net combined ratio of 133 and 175 staff in total with offices in the uk germany and benelux,neutral,[],[],"['net', 'business']",[],[],[],0,neutral,True
basware s ceo ilkka sihvo comments in conjunction with the interim report : as a whole basware succeeded well in the second quarter of 2007,positive,['succeeded'],[],"['quarter', 'report']",[],[],[],1,positive,True
shuweihat 2 got under way in july 2008 when the project was awarded to desalination and power contractors,neutral,[],[],[],['award'],[],[],0,neutral,True
the company reports a loss for the period of eur 0 4 mn compared to a loss of eur 1 9 mn in the corresponding period in 2005,positive,[],['loss'],"['eur', 'report', 'period', 'company', 'mn']",[],[],[],-1,negative,False
the total project duration is three years and it is valued at some eur11 5 m,neutral,[],[],['year'],[],[],[],0,neutral,True
local government commissioner of +àm+ñl kurt svensson says he will contact the management of finnish company componenta to find out if there are any alternatives to the company s decision to close down its plant in +àm+ñl,neutral,[],[],"['plant', 'company']",['down'],"['plant_down', 'company_down']",[],2,positive,False
major order in india comptel corporation has received a significant long term order for mediation and provisioning solutions being used by a leading operator in india,positive,['leading'],[],"['order', 'solution']",[],[],[],1,positive,True
earnings per share eps amounted to eur0 98 up from the loss of eur0 02,positive,[],['loss'],['share'],['up'],['share_up'],[],0,neutral,False
eps for the quarter came in at 0 36 eur up from 0 33 eur a year ago and ahead of forecast of 0 33 eur,positive,[],[],"['eur', 'quarter', 'year']",['up'],"['eur_up', 'year_up', 'quarter_up']",[],3,positive,True
the sales of the tiimari segment fell by 4 0 year on year to eur3 3 m in june 2010,negative,[],[],"['year', 'sale', 'june']",['fell'],[],"['year_fell', 'sale_fell', 'june_fell']",-3,negative,True
previously eb delivered a custom solution for lg electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators,positive,[],[],['solution'],[],[],[],0,neutral,False
addus services include personal care and assistance with activities of daily living skilled nursing and rehabilitative therapies and adult day care,neutral,[],[],['day'],[],[],[],0,neutral,True
both operating profit and net sales for the nine month period increased respectively by 26 6 and 3 4 as compared to the corresponding period in 2006,positive,[],[],"['sale', 'month', 'period', 'net', 'profit']",['increas'],"['period_increas', 'net_increas', 'month_increas', 'sale_increas', 'profit_increas']",[],5,positive,True
scania morgan stanley lifted the share target on swedish heavy duty truck and bus maker scania ab to 330 crowns $ 42 4 35 2 euro from 310 crowns $ 39 8 33 1 euro,positive,[],[],"['maker', 'share']",[],[],[],0,neutral,False
the fixed term contract of mr jarmo ukonaho the current general manager of incap s indian operations will finish by the end of the year,neutral,[],[],"['contract', 'end', 'year']",[],[],[],0,neutral,True
name of applicant : jot automation oyname of inventor : mammila tuomo piirainen mika and kellokoski mikaapplication no : 2424 kolnp 2008 adate of filing of application : 16 06 2008publication date : 30 01 2009,neutral,['inventor'],[],[],[],[],[],1,positive,False
ebit totalled eur 14 4 mn compared to a loss of eur 0 3 mn in the corresponding period in 2009,positive,[],['loss'],"['eur', 'period', 'mn']",[],[],[],-1,negative,False
fiskars brands report net sales of eur 145 8 mn up from eur 138 4 mn,positive,[],[],"['eur', 'sale', 'report', 'net', 'mn']",['up'],"['sale_up', 'report_up', 'net_up', 'eur_up', 'mn_up']",[],5,positive,True
at first solteq s services to companies operating in the st petersburg area will include maintenance and material management systems and data collection solutions,neutral,[],[],"['company', 'system', 'area', 'solution']",[],[],[],0,neutral,True
finnish bank pohjola bank plc hel : poh1s said today that it will issue a eur 40 million usd 51 2 m index linked bond pohjola tutkimuksen tahdet viii 2010 pohjola research stars viii 2010 on october 27 2010,neutral,[],[],['eur'],[],[],[],0,neutral,True
the total value of the project is valued at sek 30bn eur 2 83 bn usd 3 81 bn,neutral,[],[],"['eur', 'value']",[],[],[],0,neutral,True
russian export duties will activate harvesting in finland and sales in russia will increase also,positive,[],[],['sale'],['increas'],['sale_increas'],[],1,positive,True
established in 1987 the srv group is a private finnish construction concern with operations in finland the baltic countries and russia,neutral,[],['concern'],"['group', 'construction']",[],[],[],-1,negative,False
niina nenonen marimekko s current director for clothing bags and accessories lines will take up this role,neutral,[],[],[],['up'],[],[],0,neutral,True
in finland the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march 2008,negative,[],[],['company'],[],[],[],0,neutral,False
earlier today geberit s finnish rival uponor oyj cut its full year sales growth forecast to 6 pct from 10 pct blaming tough conditions in germany and the us as well as currency factors,negative,[],['cut'],"['growth', 'sale', 'year', 'oyj']",[],[],[],-1,negative,True
the new apartment block is going up very close to the city center explained chairman of the board of as yit ehitus priit sauk,neutral,[],[],[],['up'],[],[],0,neutral,True
the company says the measures are no longer needed,neutral,[],[],['company'],[],[],[],0,neutral,True
ahlstrom s share is quoted on the nasdaq omx helsinki,neutral,[],[],['share'],[],[],[],0,neutral,True
based on the 2005 calendar year the combined company had eur15 8 bn in pro forma annual revenues and is expected to start operations with 60 000 employees,neutral,[],[],"['company', 'revenue', 'year']",[],[],[],0,neutral,True
the company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was eur 67 1 million,positive,['surpass'],[],"['eur', 'company', 'turnover', 'year']",[],[],[],1,positive,True
with the new arrangement customer responsibilities will become mainly regional,neutral,[],[],[],[],[],[],0,neutral,True
earnings per share eps in the first half of 2007 amounted to eur0 29 down from eur0 40 year ago,negative,[],[],"['year', 'share']",['down'],[],"['year_down', 'share_down']",-2,negative,True
thanks to the multiplying effect of wagon performance transport will be much more efficient says development manager juha malkia from vr cargo,positive,['efficient'],[],[],[],[],[],1,positive,True
upon establishment the plan is directed to approximately 20 persons,neutral,[],[],[],[],[],[],0,neutral,True
net investment income,neutral,[],[],"['income', 'net', 'investment']",[],[],[],0,neutral,True
jan 6 ford is struggling in the face of slowing truck and suv sales and a surfeit of up to date gotta have cars,negative,[],['slowing'],['sale'],['up'],['sale_up'],[],0,neutral,False
no other ev3 devices were involved in this action,neutral,[],[],[],[],[],[],0,neutral,True
hk ruokatalo produces many turkey products such as cold cuts,neutral,[],[],['product'],[],[],[],0,neutral,True
sales in latin america increased by 42 to eur 432mn and a total of 8 7 mn mobile devices were sold in the area representing an increase of 32 from the corresponding period in 2009,positive,[],[],"['eur', 'sale', 'period', 'area', 'mn']",['increas'],"['period_increas', 'mn_increas', 'sale_increas', 'eur_increas', 'area_increas']",[],5,positive,True
huhtamaki oyj stock exchange release 16 9 2008 at 13 32 huhtamaki s capital markets day for institutional investors and analysts is held in espoo september 16 2008 starting at 13 30 pm finnish time,neutral,[],[],"['september', 'capital', 'day', 'oyj']",[],[],[],0,neutral,True
the company expects its net sales in 2008 to increase 5 10 from 2007,positive,[],[],"['company', 'net', 'sale']",['increas'],"['sale_increas', 'net_increas']",['company_increas'],1,positive,True
she will succeed krister kylas who has decided to leave teliasonera,neutral,['succeed'],[],[],[],[],[],1,positive,False
finnish electronics manufacturing services ems company elcoteq se posted a net loss of 66 4 mln euro $ 91 2 mln for the first half of 2007 compared to a net profit of 7 1 mln euro $ 9 8 mln for the same period of 2006,negative,[],['loss'],"['period', 'mln', 'net', 'profit', 'company']",[],[],[],-1,negative,True
net sales increased to eur655m in april to june 2010 from eur438m a year earlier,positive,[],[],"['june', 'net', 'sale', 'year']",['increas'],"['sale_increas', 'year_increas', 'net_increas', 'june_increas']",[],4,positive,True
other details were not provided,neutral,[],[],[],[],[],[],0,neutral,True
the value of the orders is about eur 25mn,neutral,[],[],"['eur', 'value', 'order']",[],[],[],0,neutral,True
finlan s listed food industry company hkscan group controlled companies in the baltics improved revenues by eur 3 5 mn to eur 160 4 mn in 2010 from eur 156 9 mn in the year before,positive,['improved'],[],"['eur', 'group', 'company', 'revenue', 'year', 'mn']",[],[],[],1,positive,True
the group posted net sales of 35 3 mln euro $ 46 5 mln and an operating profit of 760 000 euro $ 1 0 mln in 2005,neutral,[],[],"['sale', 'mln', 'net', 'profit', 'group']",[],[],[],0,neutral,True
a meeting for the media and analysts will be held on the same day at 10:30 a m at stonesoft headquarters in helsinki italahdenkatu 22 a the interim report will be presented by stonesoft s ceo ilkka hiidenheimo,neutral,[],[],"['medium', 'report', 'day']",[],[],[],0,neutral,True
the biggest challenge was to make the piece look raw hansen said,neutral,[],['challenge'],[],[],[],[],-1,negative,False
we could be there,neutral,[],[],[],[],[],[],0,neutral,True
sponda is a property investment company specialising in commercial properties in the largest cities in finland and russia,neutral,[],[],"['company', 'investment']",[],[],[],0,neutral,True
financing of the project will come mainly from china,neutral,[],[],[],[],[],[],0,neutral,True
however the brokers ratings on the stock differ,neutral,[],[],[],[],[],[],0,neutral,True
adp news feb 25 2009 finnish printed circuit board pcb maker aspocomp group oyj hel : acg1v said today it swung to a net profit of eur 300 000 usd 385 000 for 2008 versus a net loss of eur 65 3 million,positive,[],['loss'],"['eur', 'news', 'net', 'profit', 'group', 'oyj', 'maker']",[],[],[],-1,negative,False
investment management and investment advisory services are the company s sole line of business,neutral,[],[],"['business', 'company', 'investment']",[],[],[],0,neutral,True
olvi expects sales and market share to increase in the first quarter of 2010,positive,[],[],"['quarter', 'sale', 'share']",['increas'],"['sale_increas', 'quarter_increas', 'share_increas']",[],3,positive,True
janis arbidans ceo of yit celtnieciba said the company was focusing on housing and real estate development market,neutral,[],[],['company'],[],[],[],0,neutral,True
leed is an internationally recognized green building certification system developed by the u s green building council,neutral,[],[],['system'],[],[],[],0,neutral,True
earnings per share eps amounted to eur0 03 up from the loss of eur0 08,positive,[],['loss'],['share'],['up'],['share_up'],[],0,neutral,False
barclays plc lse : barc nyse : bcs credit agricole sa epa : aca cagr,neutral,[],[],[],[],[],[],0,neutral,True
the company s board of directors will propose a dividend of eur 0 95 per share for 2008 at the annual general meeting scheduled to be held on march 23 2009,neutral,[],[],"['eur', 'company', 'share']",[],[],[],0,neutral,True
the company s board of directors has proposed a dividend of eur0 12 per share for 2006,neutral,[],[],"['company', 'share']",[],[],[],0,neutral,True
the appointments will be in force until the new ceo has been appointed,neutral,[],['force'],[],[],[],[],-1,negative,False
rsa s shares closed at 156 9 p at the time of going to press,neutral,[],['closed'],['share'],[],[],[],-1,negative,False
the earnings per share for the quarter came in at 0 25 eur up from the 0 20 eur of the same quarter a year earlier,positive,[],[],"['eur', 'quarter', 'year', 'share']",['up'],"['eur_up', 'year_up', 'share_up', 'quarter_up']",[],4,positive,True
profit for the period was eur 10 9 mn down from eur 14 3 mn in 2009,negative,[],[],"['eur', 'profit', 'period', 'mn']",['down'],[],"['period_down', 'mn_down', 'profit_down', 'eur_down']",-4,negative,True
operating profit rose to eur 1 6 mn from eur 1 1 mn in the corresponding period in 2006,positive,[],[],"['eur', 'profit', 'period', 'mn']",['rose'],"['profit_rose', 'eur_rose', 'period_rose', 'mn_rose']",[],4,positive,True
net cash from operating activities was a negative eur 0 3 mn compared to eur 30 9 mn in 2009,negative,[],['negative'],"['eur', 'net', 'mn']",[],[],[],-1,negative,True
also a six year historic analysis is provided for these markets,neutral,[],[],['year'],[],[],[],0,neutral,True
vaisala headquartered in helsinki in finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry,neutral,[],[],"['system', 'traffic']",[],[],[],0,neutral,True
bertrand sciard has been the vice chairman of the board of directors of aldata solution since april 2007,neutral,[],[],['solution'],[],[],[],0,neutral,True
the total investment of the project will be approximately eur 36m,neutral,[],[],"['eur', 'investment']",[],[],[],0,neutral,True
the power generated annually by loviisa covers about 10 of finland s electricity consumption,neutral,[],[],[],[],[],[],0,neutral,True
cost cutting measures which have produced around eur70m of savings over the past nine months have dampened the airline s loss finnair said,positive,[],"['loss', 'dampened']","['month', 'cost']",[],[],[],-2,negative,False
the inventors are ridge justin bao yiliang and karczewicz marta,neutral,['inventors'],[],[],[],[],[],1,positive,False
kalnapilio tauro grupe kalnapilis tauras group which is owned by denmark s royal unibrew raised its market share to 25 18 percent from 23 74 percent as beer sales for the seven months jumped by 14 5 percent to 40 5 million liters,positive,[],[],"['liter', 'sale', 'percent', 'month', 'beer', 'group', 'share']",['jump'],"['share_jump', 'percent_jump', 'beer_jump', 'sale_jump', 'month_jump', 'liter_jump', 'group_jump']",[],7,positive,True
the new b shares carry the right to dividend and other shareholder rights with effect from today,neutral,[],[],['share'],[],[],[],0,neutral,True
equipment will be manufactured in vaahto s workshop in hollola finland and is scheduled for shipments during the first quarter of 2009,neutral,[],[],['quarter'],[],[],[],0,neutral,True
in the second quarter of 2010 the group s net profit rose to eur3 1 m from eur2 5 m in april june 2009,positive,[],[],"['quarter', 'net', 'profit', 'group', 'june']",['rose'],"['june_rose', 'profit_rose', 'group_rose', 'net_rose', 'quarter_rose']",[],5,positive,True
the bank s leasing arm nordea liising ended the year with a profit of 4 4 million euros,neutral,[],[],"['profit', 'year']",[],[],[],0,neutral,True
finnish automation solutions developer cencorp corporation omx helsinki : cnc1v issued on thursday 18 september a profit warning for the third quarter of 2008,negative,[],['warning'],"['september', 'quarter', 'profit', 'solution']",[],[],[],-1,negative,True
the polish business employs about 1 000 people and it had net sales of about eur 70mn in 2007,neutral,[],[],"['eur', 'net', 'sale', 'business']",[],[],[],0,neutral,True
its board of directors will propose a dividend of eur0 12 per share for 2010 up from the eur0 08 per share paid in 2009,positive,[],[],['share'],['up'],['share_up'],[],1,positive,True
the company did not disclose the price of the acquisition,neutral,[],['disclose'],['company'],[],[],[],-1,negative,False
adpnews feb 3 2010 finland based steel maker rautaruukki oyj hel : rtrks or ruukki said today it slipped to a larger than expected pretax loss of eur 46 million usd 64 5 m in the fourth quarter of 2009 from a,negative,[],['loss'],"['eur', 'quarter', 'maker', 'oyj']",[],[],[],-1,negative,True
scanfil has also issued a profit warning,negative,[],['warning'],['profit'],[],[],[],-1,negative,True
glaston s share gla1v is listed on the nasdaq omx helsinki mid cap list,neutral,[],[],['share'],[],[],[],0,neutral,True
in january june 2010 diluted loss per share stood at eur0 3 versus eur0 1 in the first half of 2009,negative,[],['loss'],"['june', 'share']",[],[],[],-1,negative,True
in this way the industry s starting point has been the consumers needs,neutral,[],[],[],[],[],[],0,neutral,True
agricultural newspaper maaseudun tulevaisuus had 318 000 readers representing a decrease of 6,negative,[],[],[],['decreas'],[],[],0,neutral,False
sanoma magazines international will invite other shareholders holding approximately 15 of the shares to sell their shares,neutral,[],[],['share'],[],[],[],0,neutral,True
in the fourth quarter of 2009 orion s net profit went up by 33 8 year on year to eur33m,positive,[],[],"['net', 'quarter', 'year', 'profit']",['up'],"['year_up', 'net_up', 'quarter_up', 'profit_up']",[],4,positive,True
in the third quarter net sales increased by 12 year on year to eur159 5 m or by 6 at comparable currency rates growth,positive,[],[],"['growth', 'sale', 'quarter', 'net', 'year']",['increas'],"['year_increas', 'quarter_increas', 'net_increas', 'growth_increas', 'sale_increas']",[],5,positive,True
marathon now has a 4 6 percent stake in plx it said according to bloomberg,neutral,[],[],['percent'],[],[],[],0,neutral,True
tampere science parks is a finnish company that owns leases and builds office properties and it specialises in facilities for technology oriented businesses,neutral,[],[],"['company', 'business']",[],[],[],0,neutral,True
technopolis has approximately 130 customer companies in jyvaskyla,neutral,[],[],['company'],[],[],[],0,neutral,True
the enterprise value of maritim food as has been determined as approximately eur15m,neutral,[],[],['value'],[],[],[],0,neutral,True
outotec oyj press release december 4 2009 10 30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market,positive,['better'],[],"['business', 'order', 'oyj']","['better', 'increas', 'grow']","['business_better', 'oyj_better', 'business_grow', 'oyj_grow', 'order_better', 'order_grow', 'order_increas', 'business_increas', 'oyj_increas']",[],10,positive,True
salcomp s charger manufacturing plant in india is located in the nokia telecom park in the state of tamil nadu in the eastern part of india,neutral,[],[],['plant'],[],[],[],0,neutral,True
subscription sales decreased slightly,negative,[],[],['sale'],['decreas'],[],['sale_decreas'],-1,negative,True
according to nordic financial group nordea s analyst sami sarkamies this makes nokia s portfolio competitive again,positive,[],[],['group'],[],[],[],0,neutral,False
investors will continue being interested in the company s share although it is not quite cheap affarsvarlden said,positive,[],[],"['company', 'share']",[],[],[],0,neutral,False
svyturys utenos alus which is controlled by the nordic group baltic beverages holding bbh posted a 4 7 per cent growth in beer sales for january may to 46 22 million litres,positive,[],[],"['growth', 'sale', 'beer', 'group', 'cent']",[],[],[],0,neutral,False
adp news feb 11 2009 finnish management software solutions provider ixonos oyj hel : xns1v said today its net profit rose to eur 3 5 million usd 4 5 m for 2008 from eur 3 1 million for 2007,positive,[],[],"['eur', 'news', 'solution', 'net', 'profit', 'oyj']",['rose'],"['eur_rose', 'solution_rose', 'profit_rose', 'oyj_rose', 'news_rose', 'net_rose']",[],6,positive,True
turnover rose to eur21m from eur17m,positive,[],[],['turnover'],['rose'],['turnover_rose'],[],1,positive,True
the businesses to be divested offer dairy edible fats ready meal and ice cream packaging to multinational and local customers,neutral,[],['divested'],['business'],[],[],[],-1,negative,False
the works will include the laying of natural stone pavements and the installation of underground heating and surface water drainage systems,neutral,[],[],['system'],[],[],[],0,neutral,True
operating profit totalled eur 30 2 mn down from eur 43 8 mn a year earlier,negative,[],[],"['eur', 'profit', 'year', 'mn']",['down'],[],"['year_down', 'mn_down', 'profit_down', 'eur_down']",-4,negative,True
its market share widened to 48 51 percent from 48 31 percent a year earlier,positive,[],[],"['percent', 'year', 'share']",[],[],[],0,neutral,False
the growth of net sales has continued favourably in the middle east and africaand in asia pacific,positive,[],[],"['growth', 'net', 'sale']",[],[],[],0,neutral,False
aspo s group structure and business operations are continually developed without any predefined schedules,neutral,[],[],"['group', 'business']",[],[],[],0,neutral,True
currently 95 of trainers house s revenues are attributed to the finnish market,neutral,[],[],['revenue'],[],[],[],0,neutral,True
for the first nine months of 2010 talvivaara s net loss narrowed to eur 8 3 million from eur 21 9 million for the same period of 2009,positive,[],['loss'],"['eur', 'net', 'month', 'period']",[],[],[],-1,negative,False
